Project_ID,Project_Name,Site_Location,Contractor_Name,Supplier_Name,Material_Category,Material_Description,PO_Number,PO_Date,Requested_Date,Delivery_Date,Quantity,Unit_Cost,Total_Cost,Budgeted_Cost,Cost_Variance,Cost_Variance_Pct,Currency,Lead_Time_Days,Risk_Level,Buyer
PRJ1471,Office Building F,Heraklion,Orion Build Partners,Beta Steel Trading,Timber,Wood panels,PO200112,2024-01-14,2024-01-10,2024-03-28,215,119.42,25675.3,29491.78,-3816.48,-12.94,EUR,78,Medium,Buyer A
PRJ1912,Industrial Warehouse D,Athens,Orion Build Partners,Helios Logistics Services,HVAC,HVAC filters,PO200113,2024-05-04,2024-04-17,2024-06-08,311,2199.92,684175.12,673988.63,10186.49,1.51,EUR,52,Low,Buyer D
PRJ1321,Residential Tower A,Volos,Delta Infrastructure Services,Delta Plumbing Materials,Timber,Formwork timber,PO200114,2023-08-19,2023-07-29,2023-09-15,104,36.17,3761.68,4064.8,-303.12,-7.46,EUR,48,Low,Buyer B
PRJ1738,Metro Station Upgrade E,Volos,Orion Build Partners,Alpha Cement Supplies,Steel,Metal frames,PO200115,2023-02-10,2023-02-01,2023-04-27,288,420.72,121167.36,131419.14,-10251.78,-7.8,EUR,85,Medium,Buyer B
PRJ1835,Industrial Warehouse D,Volos,Helios Civil Works,Delta Plumbing Materials,HVAC,Ventilation ducts,PO200116,2023-01-28,2023-01-17,2023-04-08,341,1544.25,526589.25,528125.46,-1536.21,-0.29,EUR,81,Medium,Buyer C
PRJ1012,Residential Tower A,Thessaloniki,Helios Civil Works,Omega HVAC Equipment,Timber,Plywood sheets,PO200117,2023-05-15,2023-04-21,2023-06-23,427,160.63,68589.01,66347.03,2241.98,3.38,EUR,63,Low,Buyer B
PRJ1399,Metro Station Upgrade E,Patras,Helios Civil Works,Gamma Electrical Systems,Logistics,Crane service,PO200118,2023-07-20,2023-07-04,2023-08-23,134,464.71,62271.14,68225.54,-5954.4,-8.73,EUR,50,Low,Buyer C
PRJ1822,Residential Tower A,Heraklion,Apex Construction Group,Atlas Safety Equipment,Steel,Steel beams,PO200119,2023-02-02,2023-01-11,2023-04-25,466,889.04,414292.64,368619.94,45672.7,12.39,EUR,104,High,Buyer B
PRJ1392,Metro Station Upgrade E,Thessaloniki,Orion Build Partners,Alpha Cement Supplies,HVAC,HVAC filters,PO200120,2023-02-17,2023-02-12,2023-04-14,483,1705.75,823877.25,791136.64,32740.61,4.14,EUR,61,Low,Buyer D
PRJ1532,Commercial Complex B,Larissa,Orion Build Partners,Nordic Timber Solutions,HVAC,Ventilation ducts,PO200121,2024-05-17,2024-05-03,2024-07-20,288,948.05,273038.4,308788.62,-35750.22,-11.58,EUR,78,Medium,Buyer D
PRJ1930,Commercial Complex B,Athens,Helios Civil Works,Atlas Safety Equipment,HVAC,HVAC filters,PO200122,2024-02-11,2024-02-07,2024-03-29,60,1690.8,101448.0,103409.23,-1961.23,-1.9,EUR,51,Low,Buyer B
PRJ1329,Industrial Warehouse D,Volos,Atlas Engineering Contractors,Nordic Timber Solutions,HVAC,Air handling units,PO200123,2024-07-27,2024-07-01,2024-08-31,463,3676.27,1702113.01,1519433.41,182679.6,12.02,EUR,61,High,Buyer D
PRJ1124,Office Building F,Thessaloniki,Delta Infrastructure Services,Delta Plumbing Materials,Plumbing,Water fittings,PO200124,2024-12-28,2024-12-09,2025-02-10,101,209.97,21206.97,21995.21,-788.24,-3.58,EUR,63,Low,Buyer B
PRJ1645,Office Building F,Thessaloniki,Atlas Engineering Contractors,Omega HVAC Equipment,Logistics,Crane service,PO200125,2023-04-09,2023-03-11,2023-04-20,92,1080.01,99360.92,95994.93,3365.99,3.51,EUR,40,Low,Buyer B
PRJ1213,Commercial Complex B,Thessaloniki,Delta Infrastructure Services,Omega HVAC Equipment,Safety Equipment,Helmets,PO200126,2024-11-14,2024-11-02,2024-12-09,471,23.26,10955.46,10019.43,936.03,9.34,EUR,37,Medium,Buyer B
PRJ1308,Metro Station Upgrade E,Thessaloniki,Orion Build Partners,Beta Steel Trading,HVAC,Ventilation ducts,PO200127,2024-12-26,2024-12-20,2025-02-13,465,934.44,434514.6,428567.49,5947.11,1.39,EUR,55,Low,Buyer D
PRJ1017,Residential Tower A,Athens,Apex Construction Group,Beta Steel Trading,Electrical,Cable trays,PO200128,2024-06-30,2024-06-22,2024-08-25,42,634.41,26645.22,30284.97,-3639.75,-12.02,EUR,64,Low,Buyer A
PRJ1726,Residential Tower A,Athens,Orion Build Partners,Nordic Timber Solutions,Steel,Rebar steel,PO200129,2024-09-04,2024-08-25,2024-11-05,277,1151.5,318965.5,308090.27,10875.23,3.53,EUR,72,Medium,Buyer C
PRJ1087,Hotel Renovation C,Athens,Delta Infrastructure Services,Gamma Electrical Systems,HVAC,HVAC filters,PO200130,2024-04-06,2024-03-23,2024-05-12,449,1896.78,851654.22,733620.53,118033.69,16.09,EUR,50,High,Buyer D
PRJ1436,Hotel Renovation C,Patras,Orion Build Partners,Gamma Electrical Systems,Concrete,Concrete additives,PO200131,2024-10-04,2024-09-12,2024-10-13,277,104.16,28852.32,33107.36,-4255.04,-12.85,EUR,31,Low,Buyer B
PRJ1368,Industrial Warehouse D,Athens,Apex Construction Group,Alpha Cement Supplies,HVAC,Ventilation ducts,PO200132,2023-01-05,2022-12-12,2023-01-14,352,709.35,249691.2,218426.19,31265.01,14.31,EUR,33,High,Buyer C
PRJ1378,Office Building F,Thessaloniki,Helios Civil Works,Omega HVAC Equipment,Steel,Metal frames,PO200133,2023-08-06,2023-07-18,2023-10-16,292,898.9,262478.8,273810.34,-11331.54,-4.14,EUR,90,Medium,Buyer D
PRJ1523,Commercial Complex B,Athens,Helios Civil Works,Nordic Timber Solutions,Steel,Rebar steel,PO200134,2024-05-17,2024-04-24,2024-06-03,160,1086.94,173910.4,182074.38,-8163.98,-4.48,EUR,40,Low,Buyer A
PRJ1980,Metro Station Upgrade E,Heraklion,Atlas Engineering Contractors,Atlas Safety Equipment,Logistics,Material transport,PO200135,2024-02-02,2024-01-17,2024-04-05,124,937.13,116204.12,108318.21,7885.91,7.28,EUR,79,Medium,Buyer D
PRJ1397,Office Building F,Larissa,Orion Build Partners,Helios Logistics Services,HVAC,HVAC filters,PO200136,2024-01-28,2024-01-03,2024-03-04,39,7340.15,286265.85,120449.19,165816.66,137.67,EUR,61,High,Buyer D
PRJ1541,Metro Station Upgrade E,Heraklion,Atlas Engineering Contractors,Beta Steel Trading,Timber,Plywood sheets,PO200137,2023-07-26,2023-07-13,2023-08-21,345,239.96,82786.2,74461.59,8324.61,11.18,EUR,39,Medium,Buyer C
PRJ1696,Hotel Renovation C,Volos,Atlas Engineering Contractors,Nordic Timber Solutions,Electrical,Cable trays,PO200138,2023-01-15,2022-12-20,2023-02-11,44,529.09,23279.96,23910.95,-630.99,-2.64,EUR,53,Low,Buyer B
PRJ1876,Metro Station Upgrade E,Patras,Apex Construction Group,Delta Plumbing Materials,Safety Equipment,Protective gloves,PO200139,2024-07-07,2024-06-30,2024-08-05,111,25.89,2873.79,3142.56,-268.77,-8.55,EUR,36,Low,Buyer D
PRJ1112,Metro Station Upgrade E,Athens,Orion Build Partners,Delta Plumbing Materials,Logistics,Crane service,PO200140,2024-04-05,2024-03-13,2024-04-19,384,1818.99,698492.16,737862.83,-39370.67,-5.34,EUR,37,Low,Buyer B
PRJ1377,Industrial Warehouse D,Patras,Atlas Engineering Contractors,Nordic Timber Solutions,Steel,Metal frames,PO200141,2024-11-21,2024-10-28,2025-01-22,12,1042.97,12515.64,14235.56,-1719.92,-12.08,EUR,86,Medium,Buyer B
PRJ1536,Office Building F,Patras,Helios Civil Works,Omega HVAC Equipment,Logistics,Crane service,PO200142,2024-07-28,2024-07-21,2024-10-23,186,939.88,174817.68,186464.26,-11646.58,-6.25,EUR,94,Medium,Buyer A
PRJ1273,Industrial Warehouse D,Larissa,Atlas Engineering Contractors,Helios Logistics Services,Timber,Wood panels,PO200143,2023-08-29,2023-08-17,2023-09-23,38,68.36,2597.68,2510.14,87.54,3.49,EUR,37,Low,Buyer D
PRJ1915,Industrial Warehouse D,Heraklion,Atlas Engineering Contractors,Alpha Cement Supplies,Steel,Metal frames,PO200144,2024-07-17,2024-06-25,2024-09-14,388,380.01,147443.88,151839.28,-4395.4,-2.89,EUR,81,Medium,Buyer B
PRJ1868,Hotel Renovation C,Larissa,Orion Build Partners,Atlas Safety Equipment,Electrical,Industrial cables,PO200145,2023-04-06,2023-03-11,2023-05-02,109,551.74,60139.66,54904.66,5235.0,9.53,EUR,52,Medium,Buyer A
PRJ1118,Metro Station Upgrade E,Athens,Apex Construction Group,Atlas Safety Equipment,Safety Equipment,Protective gloves,PO200146,2024-04-29,2024-04-07,2024-05-21,113,81.37,9194.81,10569.47,-1374.66,-13.01,EUR,44,Low,Buyer C
PRJ1837,Residential Tower A,Heraklion,Delta Infrastructure Services,Beta Steel Trading,Safety Equipment,Safety barriers,PO200147,2024-02-11,2024-01-25,2024-04-25,78,99.13,7732.14,8776.7,-1044.56,-11.9,EUR,91,Medium,Buyer C
PRJ1922,Hotel Renovation C,Larissa,Delta Infrastructure Services,Helios Logistics Services,HVAC,Air handling units,PO200148,2023-08-19,2023-07-31,2023-11-01,365,2900.98,1058857.7,1170904.33,-112046.63,-9.57,EUR,93,Medium,Buyer D
PRJ1743,Commercial Complex B,Patras,Apex Construction Group,Helios Logistics Services,Concrete,Ready-mix concrete,PO200149,2024-10-16,2024-10-04,2024-11-10,192,114.25,21936.0,19176.02,2759.98,14.39,EUR,37,High,Buyer D
PRJ1664,Residential Tower A,Heraklion,Delta Infrastructure Services,Atlas Safety Equipment,Timber,Formwork timber,PO200150,2023-06-20,2023-05-27,2023-08-04,174,167.02,29061.48,31253.08,-2191.6,-7.01,EUR,69,Medium,Buyer B
PRJ1182,Commercial Complex B,Athens,Delta Infrastructure Services,Atlas Safety Equipment,Timber,Wood panels,PO200151,2024-06-24,2024-06-19,2024-07-05,439,243.82,107036.98,99714.04,7322.94,7.34,EUR,16,Medium,Buyer A
PRJ1690,Residential Tower A,Patras,Helios Civil Works,Helios Logistics Services,Plumbing,Water fittings,PO200152,2023-02-05,2023-01-23,2023-04-06,84,195.59,16429.56,15670.12,759.44,4.85,EUR,73,Medium,Buyer D
PRJ1142,Residential Tower A,Larissa,Helios Civil Works,Omega HVAC Equipment,Logistics,Crane service,PO200153,2024-06-08,2024-05-21,2024-06-27,199,1022.1,203397.9,220953.97,-17556.07,-7.95,EUR,37,Low,Buyer A
PRJ1445,Residential Tower A,Athens,Helios Civil Works,Omega HVAC Equipment,Electrical,Industrial cables,PO200154,2023-06-09,2023-05-14,2023-07-20,305,368.08,112264.4,115919.52,-3655.12,-3.15,EUR,67,Medium,Buyer B
PRJ1954,Hotel Renovation C,Athens,Apex Construction Group,Alpha Cement Supplies,Concrete,Cement bags,PO200155,2024-11-29,2024-11-05,2025-02-12,289,120.28,34760.92,38516.56,-3755.64,-9.75,EUR,99,High,Buyer B
PRJ1057,Commercial Complex B,Thessaloniki,Helios Civil Works,Helios Logistics Services,Timber,Plywood sheets,PO200156,2023-08-31,2023-08-27,2023-11-13,65,127.13,8263.45,8670.48,-407.03,-4.69,EUR,78,Medium,Buyer A
PRJ1704,Hotel Renovation C,Athens,Delta Infrastructure Services,Delta Plumbing Materials,Safety Equipment,Safety barriers,PO200157,2023-03-27,2023-03-01,2023-06-15,495,65.25,32298.75,31903.8,394.95,1.24,EUR,106,High,Buyer C
PRJ1923,Metro Station Upgrade E,Athens,Helios Civil Works,Delta Plumbing Materials,Plumbing,Valves,PO200158,2024-07-31,2024-07-05,2024-08-19,232,302.54,70189.28,77992.47,-7803.19,-10.01,EUR,45,Low,Buyer A
PRJ1227,Office Building F,Heraklion,Apex Construction Group,Gamma Electrical Systems,Safety Equipment,Safety barriers,PO200159,2024-11-12,2024-10-16,2025-01-21,248,68.36,16953.28,17150.12,-196.84,-1.15,EUR,97,High,Buyer C
PRJ1476,Residential Tower A,Heraklion,Delta Infrastructure Services,Omega HVAC Equipment,Electrical,Industrial cables,PO200160,2024-07-10,2024-06-19,2024-09-21,267,200.27,53472.09,50057.44,3414.65,6.82,EUR,94,Medium,Buyer A
PRJ1268,Commercial Complex B,Patras,Delta Infrastructure Services,Gamma Electrical Systems,Safety Equipment,Protective gloves,PO200161,2024-07-27,2024-07-09,2024-08-15,238,70.01,16662.38,17641.62,-979.24,-5.55,EUR,37,Low,Buyer B
PRJ1928,Industrial Warehouse D,Patras,Delta Infrastructure Services,Delta Plumbing Materials,Electrical,Electrical panels,PO200162,2024-10-07,2024-09-29,2024-11-20,417,460.01,191824.17,183980.08,7844.09,4.26,EUR,52,Low,Buyer B
PRJ1109,Metro Station Upgrade E,Larissa,Delta Infrastructure Services,Beta Steel Trading,Timber,Formwork timber,PO200163,2023-01-28,2023-01-17,2023-02-20,12,193.5,2322.0,2662.23,-340.23,-12.78,EUR,34,Low,Buyer B
PRJ1793,Industrial Warehouse D,Thessaloniki,Helios Civil Works,Atlas Safety Equipment,Safety Equipment,Safety barriers,PO200164,2024-09-11,2024-08-17,2024-11-13,128,7.18,919.04,926.59,-7.55,-0.81,EUR,88,Medium,Buyer A
PRJ1377,Hotel Renovation C,Thessaloniki,Orion Build Partners,Delta Plumbing Materials,Electrical,Cable trays,PO200165,2024-07-09,2024-06-28,2024-09-12,372,679.58,252803.76,272490.78,-19687.02,-7.22,EUR,76,Medium,Buyer A
PRJ1218,Office Building F,Athens,Delta Infrastructure Services,Gamma Electrical Systems,Logistics,Crane service,PO200166,2023-12-06,2023-11-22,2023-12-13,476,1193.44,568077.44,502113.97,65963.47,13.14,EUR,21,High,Buyer A
PRJ1273,Metro Station Upgrade E,Heraklion,Atlas Engineering Contractors,Atlas Safety Equipment,Electrical,Industrial cables,PO200167,2023-11-27,2023-11-07,2024-01-17,314,471.74,148126.36,151559.18,-3432.82,-2.27,EUR,71,Medium,Buyer C
PRJ1156,Office Building F,Athens,Orion Build Partners,Delta Plumbing Materials,Electrical,Cable trays,PO200168,2024-10-01,2024-09-09,2024-11-07,381,532.06,202714.86,214046.25,-11331.39,-5.29,EUR,59,Low,Buyer D
PRJ1533,Hotel Renovation C,Athens,Delta Infrastructure Services,Omega HVAC Equipment,Safety Equipment,Safety barriers,PO200169,2024-05-20,2024-05-15,2024-07-26,4,110.49,441.96,423.45,18.51,4.37,EUR,72,Medium,Buyer D
PRJ1115,Residential Tower A,Volos,Atlas Engineering Contractors,Gamma Electrical Systems,Timber,Plywood sheets,PO200170,2023-12-14,2023-11-25,2024-03-03,39,213.49,8326.11,9322.36,-996.25,-10.69,EUR,99,High,Buyer C
PRJ1542,Office Building F,Patras,Orion Build Partners,Alpha Cement Supplies,Electrical,Cable trays,PO200171,2024-04-17,2024-04-09,2024-06-06,142,663.66,94239.72,90858.41,3381.31,3.72,EUR,58,Low,Buyer D
PRJ1947,Hotel Renovation C,Thessaloniki,Atlas Engineering Contractors,Alpha Cement Supplies,Logistics,Material transport,PO200172,2023-08-19,2023-07-22,2023-09-06,102,744.34,75922.68,71190.08,4732.6,6.65,EUR,46,Medium,Buyer C
PRJ1398,Office Building F,Larissa,Delta Infrastructure Services,Delta Plumbing Materials,Timber,Wood panels,PO200173,2023-07-09,2023-06-28,2023-09-14,251,174.33,43756.83,45530.15,-1773.32,-3.89,EUR,78,Medium,Buyer B
PRJ1955,Office Building F,Volos,Apex Construction Group,Delta Plumbing Materials,Concrete,Concrete additives,PO200174,2023-08-13,2023-08-10,2023-10-20,376,84.17,31647.92,27605.6,4042.32,14.64,EUR,71,High,Buyer D
PRJ1255,Metro Station Upgrade E,Volos,Apex Construction Group,Helios Logistics Services,Plumbing,Valves,PO200175,2024-01-20,2024-01-16,2024-02-01,361,118.43,42753.23,49025.49,-6272.26,-12.79,EUR,16,Low,Buyer D
PRJ1869,Hotel Renovation C,Heraklion,Apex Construction Group,Omega HVAC Equipment,Electrical,Cable trays,PO200176,2024-01-12,2023-12-27,2024-01-27,50,455.39,22769.5,21077.55,1691.95,8.03,EUR,31,Medium,Buyer A
PRJ1301,Industrial Warehouse D,Volos,Orion Build Partners,Atlas Safety Equipment,HVAC,HVAC filters,PO200177,2023-10-10,2023-10-04,2023-10-23,35,3205.19,112181.65,114597.11,-2415.46,-2.11,EUR,19,Low,Buyer C
PRJ1788,Residential Tower A,Larissa,Atlas Engineering Contractors,Delta Plumbing Materials,Concrete,Concrete additives,PO200178,2024-09-24,2024-08-27,2024-10-17,308,114.17,35164.36,36549.56,-1385.2,-3.79,EUR,51,Low,Buyer C
PRJ1984,Commercial Complex B,Patras,Apex Construction Group,Alpha Cement Supplies,Plumbing,Water fittings,PO200179,2024-09-19,2024-09-13,2024-10-21,406,279.77,113586.62,105499.56,8087.06,7.67,EUR,38,Medium,Buyer B
PRJ1467,Industrial Warehouse D,Thessaloniki,Apex Construction Group,Alpha Cement Supplies,Timber,Wood panels,PO200180,2023-09-16,2023-08-27,2023-10-15,401,40.71,16324.71,18319.82,-1995.11,-10.89,EUR,49,Low,Buyer A
PRJ1701,Office Building F,Athens,Apex Construction Group,Atlas Safety Equipment,Concrete,Concrete additives,PO200181,2023-12-25,2023-12-09,2024-02-07,291,108.61,31605.51,32467.08,-861.57,-2.65,EUR,60,Low,Buyer D
PRJ1382,Residential Tower A,Athens,Delta Infrastructure Services,Alpha Cement Supplies,Plumbing,PVC pipes,PO200182,2024-12-10,2024-11-17,2025-01-22,245,202.12,49519.4,46451.51,3067.89,6.6,EUR,66,Medium,Buyer A
PRJ1779,Office Building F,Patras,Atlas Engineering Contractors,Omega HVAC Equipment,Logistics,Site delivery service,PO200183,2024-03-31,2024-03-10,2024-04-25,59,1234.34,72826.06,72685.07,140.99,0.19,EUR,46,Low,Buyer B
PRJ1109,Industrial Warehouse D,Larissa,Apex Construction Group,Omega HVAC Equipment,HVAC,Ventilation ducts,PO200184,2024-02-15,2024-02-05,2024-02-20,108,2964.21,320134.68,336552.12,-16417.44,-4.88,EUR,15,Low,Buyer C
PRJ1727,Residential Tower A,Heraklion,Helios Civil Works,Beta Steel Trading,Plumbing,Valves,PO200185,2024-10-10,2024-09-30,2024-12-22,153,208.25,31862.25,29545.3,2316.95,7.84,EUR,83,Medium,Buyer D
PRJ1113,Residential Tower A,Heraklion,Helios Civil Works,Gamma Electrical Systems,Timber,Plywood sheets,PO200186,2023-11-14,2023-11-08,2023-12-21,82,53.39,4377.98,4443.1,-65.12,-1.47,EUR,43,Low,Buyer A
PRJ1210,Hotel Renovation C,Volos,Apex Construction Group,Alpha Cement Supplies,Safety Equipment,Protective gloves,PO200187,2024-11-07,2024-10-27,2024-11-13,202,52.58,10621.16,9060.27,1560.89,17.23,EUR,17,High,Buyer D
PRJ1350,Commercial Complex B,Athens,Apex Construction Group,Atlas Safety Equipment,Electrical,Industrial cables,PO200188,2023-08-13,2023-08-05,2023-11-09,155,553.67,85818.85,94289.63,-8470.78,-8.98,EUR,96,High,Buyer C
PRJ1223,Residential Tower A,Athens,Orion Build Partners,Omega HVAC Equipment,Concrete,Cement bags,PO200189,2023-08-22,2023-08-07,2023-10-20,463,47.13,21821.19,22205.08,-383.89,-1.73,EUR,74,Medium,Buyer C
PRJ1188,Industrial Warehouse D,Thessaloniki,Atlas Engineering Contractors,Gamma Electrical Systems,Steel,Metal frames,PO200190,2024-11-14,2024-11-09,2024-12-24,429,596.2,255769.8,277943.9,-22174.1,-7.98,EUR,45,Low,Buyer A
PRJ1612,Industrial Warehouse D,Athens,Helios Civil Works,Helios Logistics Services,Safety Equipment,Helmets,PO200191,2024-10-25,2024-10-15,2024-11-21,75,78.64,5898.0,6076.84,-178.84,-2.94,EUR,37,Low,Buyer C
PRJ1444,Commercial Complex B,Heraklion,Atlas Engineering Contractors,Gamma Electrical Systems,Plumbing,Water fittings,PO200192,2024-01-09,2023-12-14,2024-02-19,321,121.29,38934.09,33391.21,5542.88,16.6,EUR,67,High,Buyer C
PRJ1628,Industrial Warehouse D,Volos,Apex Construction Group,Nordic Timber Solutions,Electrical,Cable trays,PO200193,2024-11-02,2024-10-14,2024-11-17,369,553.65,204296.85,195997.93,8298.92,4.23,EUR,34,Low,Buyer A
PRJ1155,Office Building F,Volos,Atlas Engineering Contractors,Helios Logistics Services,Steel,Metal frames,PO200194,2024-08-30,2024-08-04,2024-11-11,344,872.44,300119.36,289693.82,10425.54,3.6,EUR,99,High,Buyer B
PRJ1122,Metro Station Upgrade E,Larissa,Helios Civil Works,Delta Plumbing Materials,Electrical,Cable trays,PO200195,2024-04-16,2024-04-08,2024-06-09,315,157.07,49477.05,43985.81,5491.24,12.48,EUR,62,High,Buyer C
PRJ1431,Office Building F,Heraklion,Apex Construction Group,Omega HVAC Equipment,Safety Equipment,Safety barriers,PO200196,2023-08-21,2023-08-15,2023-08-31,274,106.4,29153.6,27302.98,1850.62,6.78,EUR,16,Medium,Buyer D
PRJ1343,Hotel Renovation C,Patras,Helios Civil Works,Beta Steel Trading,HVAC,Air handling units,PO200197,2024-11-22,2024-11-11,2025-01-02,305,2241.93,683788.65,631870.1,51918.55,8.22,EUR,52,Medium,Buyer C
PRJ1499,Residential Tower A,Heraklion,Delta Infrastructure Services,Gamma Electrical Systems,Steel,Rebar steel,PO200198,2023-04-23,2023-04-07,2023-07-21,383,560.17,214545.11,218259.45,-3714.34,-1.7,EUR,105,High,Buyer C
PRJ1214,Residential Tower A,Thessaloniki,Atlas Engineering Contractors,Omega HVAC Equipment,Steel,Metal frames,PO200199,2024-05-11,2024-05-05,2024-05-26,435,1113.53,484385.55,455393.53,28992.02,6.37,EUR,21,Medium,Buyer A
PRJ1091,Metro Station Upgrade E,Thessaloniki,Atlas Engineering Contractors,Atlas Safety Equipment,Logistics,Material transport,PO200200,2024-03-17,2024-03-10,2024-04-18,145,1644.75,238488.75,212186.23,26302.52,12.4,EUR,39,High,Buyer C
PRJ1937,Office Building F,Thessaloniki,Orion Build Partners,Atlas Safety Equipment,Plumbing,PVC pipes,PO200201,2024-07-17,2024-06-23,2024-08-11,395,181.56,71716.2,75605.14,-3888.94,-5.14,EUR,49,Low,Buyer C
PRJ1762,Industrial Warehouse D,Volos,Atlas Engineering Contractors,Alpha Cement Supplies,Electrical,Electrical panels,PO200202,2023-09-25,2023-09-07,2023-10-25,108,387.75,41877.0,42991.74,-1114.74,-2.59,EUR,48,Low,Buyer D
PRJ1949,Office Building F,Patras,Helios Civil Works,Delta Plumbing Materials,Safety Equipment,Protective gloves,PO200203,2024-05-24,2024-04-25,2024-06-12,203,118.51,24057.53,25686.58,-1629.05,-6.34,EUR,48,Low,Buyer C
PRJ1941,Residential Tower A,Athens,Apex Construction Group,Alpha Cement Supplies,Safety Equipment,Protective gloves,PO200204,2024-01-21,2024-01-12,2024-01-29,365,66.0,24090.0,20906.3,3183.7,15.23,EUR,17,High,Buyer C
PRJ1720,Commercial Complex B,Volos,Delta Infrastructure Services,Atlas Safety Equipment,Timber,Plywood sheets,PO200205,2024-01-22,2023-12-24,2024-04-02,325,152.95,49708.75,56067.23,-6358.48,-11.34,EUR,100,High,Buyer C
PRJ1664,Hotel Renovation C,Volos,Apex Construction Group,Atlas Safety Equipment,Timber,Plywood sheets,PO200206,2023-04-23,2023-04-11,2023-05-07,320,97.46,31187.2,34035.56,-2848.36,-8.37,EUR,26,Low,Buyer C
PRJ1292,Residential Tower A,Larissa,Apex Construction Group,Nordic Timber Solutions,Electrical,Cable trays,PO200207,2024-09-04,2024-08-07,2024-09-16,113,112.96,12764.48,11018.92,1745.56,15.84,EUR,40,High,Buyer A
PRJ1194,Residential Tower A,Thessaloniki,Orion Build Partners,Atlas Safety Equipment,Logistics,Site delivery service,PO200208,2024-09-16,2024-09-09,2024-09-28,188,1577.29,296530.52,327303.4,-30772.88,-9.4,EUR,19,Low,Buyer B
PRJ1573,Hotel Renovation C,Patras,Helios Civil Works,Helios Logistics Services,Electrical,Cable trays,PO200209,2023-03-22,2023-03-17,2023-06-06,398,588.62,234270.76,204212.64,30058.12,14.72,EUR,81,High,Buyer C
PRJ1927,Industrial Warehouse D,Thessaloniki,Atlas Engineering Contractors,Helios Logistics Services,Steel,Metal frames,PO200210,2024-11-29,2024-11-21,2024-12-19,188,492.69,92625.72,97262.22,-4636.5,-4.77,EUR,28,Low,Buyer B
PRJ1233,Office Building F,Larissa,Delta Infrastructure Services,Omega HVAC Equipment,Logistics,Site delivery service,PO200211,2023-04-23,2023-03-25,2023-06-21,118,793.83,93671.94,85972.92,7699.02,8.96,EUR,88,Medium,Buyer A
PRJ1074,Commercial Complex B,Heraklion,Orion Build Partners,Delta Plumbing Materials,Electrical,Electrical panels,PO200212,2023-01-02,2022-12-06,2023-03-04,214,173.19,37062.66,41142.52,-4079.86,-9.92,EUR,88,Medium,Buyer B
PRJ1205,Hotel Renovation C,Thessaloniki,Orion Build Partners,Nordic Timber Solutions,Steel,Metal frames,PO200213,2024-10-03,2024-09-17,2024-11-04,53,1143.25,60592.25,60958.89,-366.64,-0.6,EUR,48,Low,Buyer B
PRJ1441,Residential Tower A,Thessaloniki,Delta Infrastructure Services,Beta Steel Trading,Steel,Steel beams,PO200214,2023-08-08,2023-07-13,2023-11-02,354,977.12,345900.48,335777.35,10123.13,3.01,EUR,112,High,Buyer D
PRJ1940,Residential Tower A,Larissa,Orion Build Partners,Gamma Electrical Systems,Timber,Wood panels,PO200215,2024-07-19,2024-06-30,2024-08-30,343,172.76,59256.68,56418.95,2837.73,5.03,EUR,61,Medium,Buyer A
PRJ1819,Metro Station Upgrade E,Patras,Apex Construction Group,Atlas Safety Equipment,Electrical,Industrial cables,PO200216,2023-08-13,2023-08-02,2023-09-05,411,639.9,262998.9,295126.83,-32127.93,-10.89,EUR,34,Low,Buyer A
PRJ1951,Commercial Complex B,Larissa,Delta Infrastructure Services,Gamma Electrical Systems,Concrete,Ready-mix concrete,PO200217,2024-01-20,2023-12-26,2024-03-22,218,130.78,28510.04,31454.4,-2944.36,-9.36,EUR,87,Medium,Buyer A
PRJ1533,Industrial Warehouse D,Patras,Atlas Engineering Contractors,Delta Plumbing Materials,Concrete,Ready-mix concrete,PO200218,2024-02-07,2024-01-24,2024-03-06,11,188.17,2069.87,1944.47,125.4,6.45,EUR,42,Medium,Buyer B
PRJ1768,Office Building F,Patras,Orion Build Partners,Alpha Cement Supplies,Concrete,Concrete additives,PO200219,2024-09-29,2024-09-20,2024-11-20,28,177.65,4974.2,4393.68,580.52,13.21,EUR,61,High,Buyer A
PRJ1166,Hotel Renovation C,Volos,Apex Construction Group,Delta Plumbing Materials,HVAC,Air handling units,PO200220,2023-05-10,2023-05-03,2023-08-04,397,1802.59,715628.23,687968.11,27660.12,4.02,EUR,93,Medium,Buyer C
PRJ1326,Industrial Warehouse D,Heraklion,Delta Infrastructure Services,Delta Plumbing Materials,HVAC,Ventilation ducts,PO200221,2023-02-22,2023-02-11,2023-04-01,216,3310.56,715080.96,765943.93,-50862.97,-6.64,EUR,49,Low,Buyer B
PRJ1565,Industrial Warehouse D,Larissa,Helios Civil Works,Atlas Safety Equipment,Concrete,Ready-mix concrete,PO200222,2024-11-14,2024-11-01,2024-12-09,227,154.65,35105.55,38075.64,-2970.09,-7.8,EUR,38,Low,Buyer A
PRJ1387,Office Building F,Athens,Orion Build Partners,Atlas Safety Equipment,Timber,Wood panels,PO200223,2024-12-30,2024-12-26,2025-01-27,470,220.42,103597.4,89034.36,14563.04,16.36,EUR,32,High,Buyer C
PRJ1465,Industrial Warehouse D,Thessaloniki,Orion Build Partners,Gamma Electrical Systems,Concrete,Cement bags,PO200224,2024-11-02,2024-10-05,2025-01-05,230,162.68,37416.4,34803.83,2612.57,7.51,EUR,92,Medium,Buyer A
